Event,ParticleID,px,py,pz,E,vx,vy,vz
27,211,3.9939836753404928e-02,1.7295656148916174e-02,4.9978621314336484e+00,5.0000000000000000e+00,0,0,0
28,211,-3.4620213605725532e-03,4.3343892445093610e-02,4.9978624967575689e+00,5.0000000000000000e+00,0,0,0
29,211,-6.9818534977282964e-02,5.3996976451674526e-02,4.9972722473173006e+00,5.0000000000000000e+00,0,0,0
30,211,7.6710682099957878e-02,-5.2401250498329312e-02,4.9971881889016316e+00,5.0000000000000000e+00,0,0,0
31,211,-2.8988462074577215e-02,7.8665200103759408e-02,4.9973484639815924e+00,5.0000000000000000e+00,0,0,0
32,211,-3.1984820155866026e-02,-1.4152324236677279e-02,4.9979292610138346e+00,5.0000000000000000e+00,0,0,0
33,211,5.7074611682573200e-03,6.8732766795254724e-02,4.9975757569801456e+00,5.0000000000000000e+00,0,0,0
34,211,5.2402056091535788e-02,3.9044093953460125e-02,4.9976244154942986e+00,5.0000000000000000e+00,0,0,0
35,211,-3.4064732228569809e-02,-6.0313913129685743e-03,4.9979319154463306e+00,5.0000000000000000e+00,0,0,0
36,211,-4.1098230313325795e-02,2.8457783461194243e-02,4.9978016472370719e+00,5.0000000000000000e+00,0,0,0
37,211,2.2807349997006982e-02,3.2715573120198453e-02,4.9978925289727396e+00,5.0000000000000000e+00,0,0,0
38,211,-3.6252667616366134e-02,3.5737395884054612e-02,4.9977923924194894e+00,5.0000000000000000e+00,0,0,0
39,211,7.9517947577993436e-02,1.6150296633767419e-02,4.9973929482312700e+00,5.0000000000000000e+00,0,0,0
40,211,4.6173470520664645e-02,-3.9293467086444371e-02,4.9976838884791821e+00,5.0000000000000000e+00,0,0,0
41,211,4.0554808923194380e-02,-7.2016572373284501e-02,4.9973682209615902e+00,5.0000000000000000e+00,0,0,0
42,211,-1.9287263138031596e-02,-5.9085999502025019e-02,4.9976651609770224e+00,5.0000000000000000e+00,0,0,0
43,211,-5.9493254204008382e-02,3.9403134964028197e-02,4.9975422120037383e+00,5.0000000000000000e+00,0,0,0
44,211,6.1879670268358618e-02,-7.5914839436687628e-02,4.9970919601965278e+00,5.0000000000000000e+00,0,0,0
45,211,-3.5588556799637891e-02,5.4642496879284734e-02,4.9976262232443629e+00,5.0000000000000000e+00,0,0,0
46,211,-3.3396540532708074e-02,-5.2949109596327072e-02,4.9976595800407813e+00,5.0000000000000000e+00,0,0,0
47,211,1.6163920231454774e-02,-2.7981284155973462e-02,4.9979471776440105e+00,5.0000000000000000e+00,0,0,0
48,211,8.4621917019283885e-02,-4.0333916081198032e-02,4.9971724526449490e+00,5.0000000000000000e+00,0,0,0
49,211,6.8897892750711931e-04,-6.5215673277801034e-02,4.9976261020975707e+00,5.0000000000000000e+00,0,0,0
50,211,3.2041216085340635e-02,-2.5805375160321033e-02,4.9978823173604843e+00,5.0000000000000000e+00,0,0,0
51,211,-8.6035134137772390e-02,-1.0431640877820274e-02,4.9973002062776342e+00,5.0000000000000000e+00,0,0,0
52,211,1.4486695423571247e-02,6.4373634249850917e-02,4.9976160702848276e+00,5.0000000000000000e+00,0,0,0
53,211,3.1616969233569485e-02,-5.9727861395664945e-02,4.9975947379644126e+00,5.0000000000000000e+00,0,0,0
54,211,-1.9341082910448462e-02,-7.0749878537116923e-02,4.9975134409322832e+00,5.0000000000000000e+00,0,0,0
55,211,-8.4204622965608503e-02,-2.5898833247216431e-02,4.9972751622266758e+00,5.0000000000000000e+00,0,0,0
56,211,-1.8559304722397339e-02,-2.8355097064678300e-02,4.9979367498777609e+00,5.0000000000000000e+00,0,0,0
57,211,2.0161973130923289e-02,-2.7779579072508935e-02,4.9979337735634335e+00,5.0000000000000000e+00,0,0,0
58,211,-2.3505004072407947e-02,-1.4556757540680957e-02,4.9979751730769388e+00,5.0000000000000000e+00,0,0,0
59,211,4.8701711317108994e-02,-2.7710127540563102e-02,4.9977375388516023e+00,5.0000000000000000e+00,0,0,0
60,211,-1.5861452622727694e-02,2.2511728378161185e-02,4.9979757754020904e+00,5.0000000000000000e+00,0,0,0
61,211,2.8541123844698826e-02,1.4733026885424837e-02,4.9979484348348846e+00,5.0000000000000000e+00,0,0,0
62,211,-2.2799594472944350e-02,-5.5517754380224632e-02,4.9976912842371970e+00,5.0000000000000000e+00,0,0,0
63,211,5.7606777124547363e-02,2.3343297873618944e-02,4.9976651313161931e+00,5.0000000000000000e+00,0,0,0
64,211,-1.8505568780155268e-03,-8.5367955572032431e-02,4.9973221932051466e+00,5.0000000000000000e+00,0,0,0
65,211,4.7818056169309897e-02,-4.5997694917298715e-02,4.9976112154374794e+00,5.0000000000000000e+00,0,0,0
66,211,3.3359006702827328e-02,1.2887803576932587e-03,4.9979401487829955e+00,5.0000000000000000e+00,0,0,0
67,211,-5.2370886988528556e-02,-4.5318538366994079e-02,4.9975717839142950e+00,5.0000000000000000e+00,0,0,0
68,211,1.5431974146732211e-02,9.5869510548300188e-02,4.9971082744144297e+00,5.0000000000000000e+00,0,0,0
69,211,2.6304631634840869e-02,1.7694957328342562e-02,4.9979510971936989e+00,5.0000000000000000e+00,0,0,0
70,211,-7.0285463912812138e-02,6.0033935913168565e-02,4.9971968237404187e+00,5.0000000000000000e+00,0,0,0
71,211,-7.2717000636570300e-03,-4.1024026691554673e-02,4.9978779863770377e+00,5.0000000000000000e+00,0,0,0
72,211,1.4426078737028399e-02,-3.4577015916002776e-02,4.9979112170308326e+00,5.0000000000000000e+00,0,0,0
73,211,-6.0108929384606977e-02,-5.3420971632420745e-02,4.9974046595706136e+00,5.0000000000000000e+00,0,0,0
74,211,9.5172153649038596e-02,2.4904820684930251e-03,4.9971448121671305e+00,5.0000000000000000e+00,0,0,0
75,211,-1.4073737455100504e-02,-2.7218138947509657e-02,4.9979577146997025e+00,5.0000000000000000e+00,0,0,0
76,211,-7.5904956328954304e-02,-4.1097407299678604e-02,4.9973062399474717e+00,5.0000000000000000e+00,0,0,0
77,211,-1.0989284239279089e-03,-7.8890365427763773e-02,4.9974288706993111e+00,5.0000000000000000e+00,0,0,0
78,211,-5.8984454000882473e-02,8.8095305318210970e-03,4.9976958132181295e+00,5.0000000000000000e+00,0,0,0
79,211,3.3535743870508186e-02,3.2597829871435995e-02,4.9978328253824902e+00,5.0000000000000000e+00,0,0,0
80,211,-9.1523517097057749e-02,-1.8447802253466521e-02,4.9971795384506841e+00,5.0000000000000000e+00,0,0,0
81,211,-3.3755341047139148e-02,3.4340466016523366e-02,4.9978196770636449e+00,5.0000000000000000e+00,0,0,0
82,211,-1.2181827647313436e-02,4.9740288226939516e-02,4.9977892834634661e+00,5.0000000000000000e+00,0,0,0
83,211,-2.5270901006697672e-02,-7.0440155569908444e-02,4.9974913487814661e+00,5.0000000000000000e+00,0,0,0
84,211,-5.5142736486778518e-02,1.3580153408395836e-02,4.9977289915666852e+00,5.0000000000000000e+00,0,0,0
