Event,ParticleID,px,py,pz,E,vx,vy,vz
79,2212,3.2952826104114284e-02,3.2031214911251493e-02,4.9109605747286409e+00,5.0000000000000000e+00,0,0,0
80,2212,-8.9932656779042011e-02,-1.8127142848206573e-02,4.9103186432198900e+00,5.0000000000000000e+00,0,0,0
81,2212,-3.3168606246114896e-02,3.3743560582590787e-02,4.9109476549536648e+00,5.0000000000000000e+00,0,0,0
82,2212,-1.1970083312964196e-02,4.8875703328361060e-02,4.9109177896545608e+00,5.0000000000000000e+00,0,0,0
83,2212,-2.4831642607466516e-02,-6.9215765906515320e-02,4.9106250336684623e+00,5.0000000000000000e+00,0,0,0
84,2212,-5.4184246318502036e-02,1.3344103397915223e-02,4.9108585457505693e+00,5.0000000000000000e+00,0,0,0
85,2212,-3.8684178257788124e-02,1.2372404803165144e-02,4.9110076473131157e+00,5.0000000000000000e+00,0,0,0
86,2212,-4.2008202032837345e-02,-6.1169512059945037e-02,4.9106149569857660e+00,5.0000000000000000e+00,0,0,0
87,2212,-3.1388555334901790e-03,4.2461098574011050e-02,4.9109910259243836e+00,5.0000000000000000e+00,0,0,0
88,2212,-4.2047601724797649e-02,-4.1208178652331173e-02,4.9108226947444713e+00,5.0000000000000000e+00,0,0,0
89,2212,3.4069627574523122e-02,-3.4643092340759150e-02,4.9109352236255370e+00,5.0000000000000000e+00,0,0,0
90,2212,-6.7416840458819030e-02,2.6196353311980980e-03,4.9107121439918755e+00,5.0000000000000000e+00,0,0,0
91,2212,-1.8338266119623050e-02,-2.4979069279919341e-02,4.9110778254991674e+00,5.0000000000000000e+00,0,0,0
92,2212,-1.5086094176548364e-02,-2.5935083542529744e-02,4.9110839368941903e+00,5.0000000000000000e+00,0,0,0
93,2212,5.7967172668141592e-03,5.3991323465012064e-02,4.9108753791025306e+00,5.0000000000000000e+00,0,0,0
94,2212,-2.0090021634172825e-02,-3.6097732345110455e-02,4.9110018324946978e+00,5.0000000000000000e+00,0,0,0
95,2212,7.9260930353620876e-02,4.2513542868541490e-02,4.9103519178983737e+00,5.0000000000000000e+00,0,0,0
96,2212,-1.7000724115178504e-02,-8.2838230619737899e-02,4.9104474803161624e+00,5.0000000000000000e+00,0,0,0
97,2212,-2.8791379401113367e-02,-3.2086747168165339e-04,4.9110911829788133e+00,5.0000000000000000e+00,0,0,0
98,2212,2.4249225963751560e-02,3.0473616632087575e-02,4.9110211756563951e+00,5.0000000000000000e+00,0,0,0
99,2212,3.1151024408250981e-02,2.4937398266223692e-02,4.9110134792995659e+00,5.0000000000000000e+00,0,0,0
100,2212,8.6722548714341124e-02,1.6727469417583945e-02,4.9103813543682504e+00,5.0000000000000000e+00,0,0,0
101,2212,2.4827855559709750e-02,5.3992036318212679e-02,4.9108160311315388e+00,5.0000000000000000e+00,0,0,0
102,2212,8.3923022786616223e-03,3.5156133418079549e-02,4.9110425847839627e+00,5.0000000000000000e+00,0,0,0
103,2212,-3.2393896317444097e-02,3.7782081990729084e-02,4.9109234166068827e+00,5.0000000000000000e+00,0,0,0
104,2212,4.2594299585085704e-02,2.7719045811486463e-02,4.9109126477833174e+00,5.0000000000000000e+00,0,0,0
105,2212,4.7972487732524965e-02,-1.9943726342710247e-02,4.9109007872503714e+00,5.0000000000000000e+00,0,0,0
106,2212,-8.8278640148514054e-02,1.3097907242072517e-02,4.9103646484284038e+00,5.0000000000000000e+00,0,0,0
107,2212,3.6645674788375597e-02,-5.9536525990808283e-02,4.9106779726029934e+00,5.0000000000000000e+00,0,0,0
108,2212,-5.2480259940411757e-02,-4.4146173639216246e-02,4.9106967521611029e+00,5.0000000000000000e+00,0,0,0
109,2212,-1.9795613849842805e-03,4.9909599208153174e-02,4.9109215802392532e+00,5.0000000000000000e+00,0,0,0
110,2212,-2.7692196772097822e-02,-6.8736896730480071e-02,4.9106164618387576e+00,5.0000000000000000e+00,0,0,0
111,2212,6.8218817790196840e-02,1.8167429162672298e-02,4.9106681614046090e+00,5.0000000000000000e+00,0,0,0
112,2212,-1.4368409548993081e-02,6.8054491512706941e-02,4.9106830267293748e+00,5.0000000000000000e+00,0,0,0
113,2212,2.3991429680099038e-02,3.6189999521920257e-02,4.9109836437573797e+00,5.0000000000000000e+00,0,0,0
114,2212,1.7524445993460498e-02,2.7917305363650655e-02,4.9110649732893830e+00,5.0000000000000000e+00,0,0,0
115,2212,1.4182366804192324e-02,-8.0985205809444877e-02,4.9104873394529625e+00,5.0000000000000000e+00,0,0,0
116,2212,-6.1116380960717313e-03,-7.2889676291812644e-02,4.9106308552960742e+00,5.0000000000000000e+00,0,0,0
117,2212,-9.6022460616611224e-02,1.0407487936611648e-02,4.9102257611303353e+00,5.0000000000000000e+00,0,0,0
118,2212,2.8957758298952120e-02,-3.5128964584299011e-02,4.9109645751214224e+00,5.0000000000000000e+00,0,0,0
119,2212,3.4385857711011714e-02,-5.6660204929624564e-02,4.9107283459770823e+00,5.0000000000000000e+00,0,0,0
120,2212,-6.8684213909800673e-02,-3.6750790155402037e-02,4.9105577597864123e+00,5.0000000000000000e+00,0,0,0
121,2212,3.6274097092881652e-02,-8.6612203403713034e-02,4.9102778098716211e+00,5.0000000000000000e+00,0,0,0
122,2212,4.8902879224547786e-02,-5.2228637092627546e-02,4.9106543690110174e+00,5.0000000000000000e+00,0,0,0
123,2212,-2.7627306505889421e-02,2.5618432305662717e-02,4.9110310609766481e+00,5.0000000000000000e+00,0,0,0
124,2212,7.0245149599838089e-02,-3.2932612065364679e-02,4.9105627697888403e+00,5.0000000000000000e+00,0,0,0
125,2212,-7.6284110740157549e-02,-8.3108321777908018e-03,4.9105760678899060e+00,5.0000000000000000e+00,0,0,0
126,2212,-2.2271127397407945e-02,2.5883190134218945e-02,4.9110568833367143e+00,5.0000000000000000e+00,0,0,0
127,2212,-1.3076230219225399e-02,3.7810224031806158e-02,4.9110126301179386e+00,5.0000000000000000e+00,0,0,0
128,2212,-2.1193712457444155e-02,2.0994050875909467e-02,4.9110849850512759e+00,5.0000000000000000e+00,0,0,0
129,2212,4.2409403712593170e-02,-2.9424049582068529e-03,4.9109915942450773e+00,5.0000000000000000e+00,0,0,0
130,2212,-4.4869493378051524e-03,-9.2554602663874955e-02,4.9103013315709418e+00,5.0000000000000000e+00,0,0,0
131,2212,-2.0939963872276441e-02,3.2143665664463097e-02,4.9110257540239672e+00,5.0000000000000000e+00,0,0,0
132,2212,-1.4986036605904422e-02,-6.2661261920339967e-02,4.9107529604916387e+00,5.0000000000000000e+00,0,0,0
133,2212,-3.0848552649461139e-02,-1.9211761200729850e-02,4.9110411247562364e+00,5.0000000000000000e+00,0,0,0
134,2212,7.1811830979892702e-02,5.8541028364781679e-02,4.9103015857424994e+00,5.0000000000000000e+00,0,0,0
135,2212,3.9361055302424234e-03,4.3262416688980364e-02,4.9109834579635354e+00,5.0000000000000000e+00,0,0,0
136,2212,-3.8605473388045493e-02,1.9683202103421515e-02,4.9109844067147517e+00,5.0000000000000000e+00,0,0,0
137,2212,-2.2007920335155085e-02,4.2437061314940822e-02,4.9109429238472595e+00,5.0000000000000000e+00,0,0,0
138,2212,-1.4466938854133153e-02,-6.2659785355405742e-02,4.9107545360153564e+00,5.0000000000000000e+00,0,0,0
139,2212,-1.1880213529382446e-02,-3.0796535091566938e-02,4.9110646593146026e+00,5.0000000000000000e+00,0,0,0
140,2212,-7.0620541794800496e-03,4.0674707079876735e-02,4.9110020718393850e+00,5.0000000000000000e+00,0,0,0
141,2212,1.7636722818280316e-02,-4.0779826410681029e-02,4.9109746085458577e+00,5.0000000000000000e+00,0,0,0
142,2212,-4.2904661832135677e-02,-1.3239924203051142e-02,4.9109703265664475e+00,5.0000000000000000e+00,0,0,0
143,2212,-5.3661576608892148e-02,1.4918153705329052e-02,4.9108597554707130e+00,5.0000000000000000e+00,0,0,0
144,2212,7.0226375134913685e-02,-2.8460496910211810e-02,4.9105909940013364e+00,5.0000000000000000e+00,0,0,0
145,2212,-8.0452189821410586e-02,-1.4954119584157502e-02,4.9104938115709302e+00,5.0000000000000000e+00,0,0,0
146,2212,-4.6442585699202421e-03,-2.8041197264279505e-02,4.9110933381615052e+00,5.0000000000000000e+00,0,0,0
147,2212,-1.0736223799804635e-02,8.2505561999924981e-02,4.9104707737398865e+00,5.0000000000000000e+00,0,0,0
148,2212,8.2717039017715002e-02,2.1983529404484135e-02,4.9104297439131601e+00,5.0000000000000000e+00,0,0,0
149,2212,3.0553544147837654e-02,-2.3797712165628291e-02,4.9110228877344575e+00,5.0000000000000000e+00,0,0,0
150,2212,3.9246700687429470e-02,-8.9954416044658800e-02,4.9101948590188567e+00,5.0000000000000000e+00,0,0,0
151,2212,6.6321778009670623e-02,-1.0049360207360178e-02,4.9107174716264277e+00,5.0000000000000000e+00,0,0,0
152,2212,-4.6350464751173125e-02,-2.6234231433280068e-02,4.9108867889144481e+00,5.0000000000000000e+00,0,0,0
153,2212,1.8717356928765181e-03,5.6102298250386894e-02,4.9108547812730645e+00,5.0000000000000000e+00,0,0,0
154,2212,1.4671187656008850e-02,-4.7799671269420627e-02,4.9109210543130599e+00,5.0000000000000000e+00,0,0,0
155,2212,-4.4989453289655305e-02,-2.4049354073835044e-02,4.9109106316117508e+00,5.0000000000000000e+00,0,0,0
156,2212,5.4228680538648377e-02,2.5863434985594260e-02,4.9108080788149095e+00,5.0000000000000000e+00,0,0,0
157,2212,4.1639397458529008e-02,7.9373144824580771e-02,4.9103575957842356e+00,5.0000000000000000e+00,0,0,0
158,2212,1.2198440153336038e-03,-5.7786977382736075e-02,4.9108354514523844e+00,5.0000000000000000e+00,0,0,0
159,2212,-8.1718126038242370e-02,-1.2675758129042727e-02,4.9104793174443424e+00,5.0000000000000000e+00,0,0,0
160,2212,-4.9801643337638778e-02,8.4259168205504095e-02,4.9102001835882607e+00,5.0000000000000000e+00,0,0,0
161,2212,-3.2060817667187554e-02,7.4671320399918681e-02,4.9105032279692313e+00,5.0000000000000000e+00,0,0,0
162,2212,5.0449683799436935e-02,7.6932220998769305e-04,4.9109164003843384e+00,5.0000000000000000e+00,0,0,0
163,2212,6.0955014479631822e-02,-2.7131164614614010e-03,4.9107965524164054e+00,5.0000000000000000e+00,0,0,0
164,2212,-4.9455126878300441e-02,4.5210588076937140e-02,4.9107184654760232e+00,5.0000000000000000e+00,0,0,0
165,2212,7.4023755311350900e-02,4.3031950668005803e-02,4.9104291450836870e+00,5.0000000000000000e+00,0,0,0
166,2212,2.0537705630122593e-02,-6.0900553258843790e-02,4.9107550314871355e+00,5.0000000000000000e+00,0,0,0
167,2212,-4.4897246689122428e-02,9.8610615995235254e-03,4.9109604611236550e+00,5.0000000000000000e+00,0,0,0
