Event,ParticleID,px,py,pz,E,vx,vy,vz
22,22,1.9116149114674189e-01,-3.6860534984076128e-03,9.9981720177896598e+00,1.0000000000000000e+01,0,0,0
23,22,9.3537758969676782e-02,-1.5946050780627755e-01,9.9982910056717742e+00,1.0000000000000000e+01,0,0,0
24,22,-8.8105933930031743e-02,1.3839665128373274e-01,9.9986540949929736e+00,1.0000000000000000e+01,0,0,0
25,22,-6.3353449707365759e-03,1.0941565007192774e-01,9.9993993859093084e+00,1.0000000000000000e+01,0,0,0
26,22,1.4060012318713616e-01,3.6584261805839055e-02,9.9989446041643752e+00,1.0000000000000000e+01,0,0,0
27,22,7.9910812482564306e-02,3.4604796805062656e-02,9.9996208313158785e+00,1.0000000000000000e+01,0,0,0
28,22,-6.9267418758731016e-03,8.6721577827907154e-02,9.9996215622485440e+00,1.0000000000000000e+01,0,0,0
29,22,-1.3969150376913789e-01,1.0803605148654868e-01,9.9984406031817734e+00,1.0000000000000000e+01,0,0,0
30,22,1.5348117145663459e-01,-1.0484335547683203e-01,9.9982724208145406e+00,1.0000000000000000e+01,0,0,0
31,22,-5.7999524917987627e-02,1.5739173129842624e-01,9.9985930959324563e+00,1.0000000000000000e+01,0,0,0
32,22,-6.3994577182292983e-02,-2.8315682291143951e-02,9.9997551428136298e+00,1.0000000000000000e+01,0,0,0
33,22,1.1419372141756340e-02,1.3751912088912535e-01,9.9990478591378782e+00,1.0000000000000000e+01,0,0,0
34,22,1.0484496729132334e-01,7.8118628519446481e-02,9.9991452141026489e+00,1.0000000000000000e+01,0,0,0
35,22,-6.8156022925004597e-02,-1.2067484982359378e-02,9.9997604537481415e+00,1.0000000000000000e+01,0,0,0
36,22,-8.2228502740523485e-02,5.6937753949208220e-02,9.9994998157664003e+00,1.0000000000000000e+01,0,0,0
37,22,4.5632481677073039e-02,6.5456652840348045e-02,9.9996816500934145e+00,1.0000000000000000e+01,0,0,0
38,22,-7.2533599517959832e-02,7.1502654323252660e-02,9.9994812989157449e+00,1.0000000000000000e+01,0,0,0
39,22,1.5909789108894382e-01,3.2313184798602207e-02,9.9986820991138234e+00,1.0000000000000000e+01,0,0,0
40,22,9.2382940051238094e-02,-7.8617569208441540e-02,9.9992642064403530e+00,1.0000000000000000e+01,0,0,0
41,22,8.1141236283378951e-02,-1.4408929225450443e-01,9.9986326252959206e+00,1.0000000000000000e+01,0,0,0
42,22,-3.8589563533799949e-02,-1.1821806522903942e-01,9.9992267368351921e+00,1.0000000000000000e+01,0,0,0
43,22,-1.1903289214793167e-01,7.8836990465846038e-02,9.9989807430318205e+00,1.0000000000000000e+01,0,0,0
44,22,1.2380758483886792e-01,-1.5188886565371232e-01,9.9980798883799089e+00,1.0000000000000000e+01,0,0,0
45,22,-7.1204860112466670e-02,1.0932759561986380e-01,9.9991488310121852e+00,1.0000000000000000e+01,0,0,0
46,22,-6.6819118579599088e-02,-1.0593950080955508e-01,9.9992155706115504e+00,1.0000000000000000e+01,0,0,0
