Event,ParticleID,px,py,pz,E,vx,vy,vz
37,2112,2.2409784958391757e-02,3.2145293447524613e-02,4.9107720464731708e+00,5.0000000000000000e+00,0,0,0
38,2112,-3.5620731279935244e-02,3.5114441477842741e-02,4.9106736554446151e+00,5.0000000000000000e+00,0,0,0
39,2112,7.8131834947477524e-02,1.5868773646410549e-02,4.9102811741452950e+00,5.0000000000000000e+00,0,0,0
40,2112,4.5368600266428354e-02,-3.8608525225088342e-02,4.9105670428846402e+00,5.0000000000000000e+00,0,0,0
41,2112,3.9847880052558425e-02,-7.0761219542715470e-02,4.9102568779076252e+00,5.0000000000000000e+00,0,0,0
42,2112,-1.8951058295502331e-02,-5.8056045225148283e-02,4.9105486418298812e+00,5.0000000000000000e+00,0,0,0
43,2112,-5.8456200889701111e-02,3.8716281433232622e-02,4.9104278360347102e+00,5.0000000000000000e+00,0,0,0
44,2112,6.0801018276655683e-02,-7.4591534183070879e-02,4.9099854327665513e+00,5.0000000000000000e+00,0,0,0
45,2112,-3.4968196873554194e-02,5.3689999268440154e-02,4.9105103828381180e+00,5.0000000000000000e+00,0,0,0
46,2112,-3.2814390614885815e-02,-5.2026130170656472e-02,4.9105431581774166e+00,5.0000000000000000e+00,0,0,0
47,2112,1.5882159765121109e-02,-2.7493529975087343e-02,4.9108257425392017e+00,5.0000000000000000e+00,0,0,0
48,2112,8.3146834832537903e-02,-3.9630837691712661e-02,4.9100645221153849e+00,5.0000000000000000e+00,0,0,0
49,2112,6.7696903008565687e-04,-6.4078869937280999e-02,4.9105102638030900e+00,5.0000000000000000e+00,0,0,0
50,2112,3.1482691429388983e-02,-2.5355550214703072e-02,4.9107620128640601e+00,5.0000000000000000e+00,0,0,0
51,2112,-8.4535417536315480e-02,-1.0249802316612809e-02,4.9101900488178085e+00,5.0000000000000000e+00,0,0,0
52,2112,1.4234171407136415e-02,6.3251508865283967e-02,4.9105004068593265e+00,5.0000000000000000e+00,0,0,0
53,2112,3.1065839812751628e-02,-5.8686718539292387e-02,4.9104794463920545e+00,5.0000000000000000e+00,0,0,0
54,2112,-1.9003939911583542e-02,-6.9516606008904622e-02,4.9103995664845685e+00,5.0000000000000000e+00,0,0,0
55,2112,-8.2736814816687390e-02,-2.5447379192213543e-02,4.9101654413208147e+00,5.0000000000000000e+00,0,0,0
56,2112,-1.8235789246044323e-02,-2.7860826785100150e-02,4.9108154965439725e+00,5.0000000000000000e+00,0,0,0
57,2112,1.9810520830353225e-02,-2.7295340902439805e-02,4.9108125721111007e+00,5.0000000000000000e+00,0,0,0
58,2112,-2.3095277916018699e-02,-1.4303012240392550e-02,4.9108532499713151e+00,5.0000000000000000e+00,0,0,0
59,2112,4.7852770175636841e-02,-2.7227100010966614e-02,4.9106197580536115e+00,5.0000000000000000e+00,0,0,0
60,2112,-1.5584964603502494e-02,2.2119316451166875e-02,4.9108538417970697e+00,5.0000000000000000e+00,0,0,0
61,2112,2.8043610849768297e-02,1.4476208955968246e-02,4.9108269778154234e+00,5.0000000000000000e+00,0,0,0
62,2112,-2.2402164624310588e-02,-5.4549999767483509e-02,4.9105743097239154e+00,5.0000000000000000e+00,0,0,0
63,2112,5.6602607829340991e-02,2.2936390489738310e-02,4.9105486126860836e+00,5.0000000000000000e+00,0,0,0
64,2112,-1.8182989998856928e-03,-8.3879868856217038e-02,4.9102116524814292e+00,5.0000000000000000e+00,0,0,0
65,2112,4.6984518412843158e-02,-4.5195888685605548e-02,4.9104956366389771e+00,5.0000000000000000e+00,0,0,0
66,2112,3.2777511053849448e-02,1.2663150553788687e-03,4.9108188362013818e+00,5.0000000000000000e+00,0,0,0
67,2112,-5.1457986817722207e-02,-4.4528570814506660e-02,4.9104568924641709e+00,5.0000000000000000e+00,0,0,0
68,2112,1.5162972557404213e-02,9.4198366567602748e-02,4.9100014626040815e+00,5.0000000000000000e+00,0,0,0
69,2112,2.5846103928069269e-02,1.7386508674971587e-02,4.9108295937654800e+00,5.0000000000000000e+00,0,0,0
70,2112,-6.9060286802001228e-02,5.8987457736060088e-02,4.9100884683874746e+00,5.0000000000000000e+00,0,0,0
71,2112,-7.1449438330127187e-03,-4.0308918677781906e-02,4.9107577573759071e+00,5.0000000000000000e+00,0,0,0
72,2112,1.4174611356955498e-02,-3.3974288607935464e-02,4.9107904087714296e+00,5.0000000000000000e+00,0,0,0
73,2112,-5.9061143963019314e-02,-5.2489766970209073e-02,4.9102926813390857e+00,5.0000000000000000e+00,0,0,0
74,2112,9.3513165605906015e-02,2.4470693703996078e-03,4.9100373634510008e+00,5.0000000000000000e+00,0,0,0
75,2112,-1.3828411892265195e-02,-2.6743687489399821e-02,4.9108360959187998e+00,5.0000000000000000e+00,0,0,0
76,2112,-7.4581823352174101e-02,-4.0381020155962802e-02,4.9101959773120694e+00,5.0000000000000000e+00,0,0,0
77,2112,-1.0797725149182431e-03,-7.7515192460199639e-02,4.9103164704328552e+00,5.0000000000000000e+00,0,0,0
78,2112,-5.7956269808697218e-02,8.6559676958701814e-03,4.9105787597581720e+00,5.0000000000000000e+00,0,0,0
79,2112,3.2951167437532916e-02,3.2029602633580193e-02,4.9107133836026957e+00,5.0000000000000000e+00,0,0,0
80,2112,-8.9928130056754152e-02,-1.8126230426128931e-02,4.9100714844052966e+00,5.0000000000000000e+00,0,0,0
81,2112,-3.3166936718331229e-02,3.3741862114723471e-02,4.9107004644780314e+00,5.0000000000000000e+00,0,0,0
82,2112,-1.1969480803877275e-02,4.8873243190481058e-02,4.9106706006821845e+00,5.0000000000000000e+00,0,0,0
83,2112,-2.4830392717225733e-02,-6.9212281960177896e-02,4.9103778594318355e+00,5.0000000000000000e+00,0,0,0
84,2112,-5.4181518977353162e-02,1.3343431728107764e-02,4.9106113597602103e+00,5.0000000000000000e+00,0,0,0
85,2112,-3.8682231106017248e-02,1.2371782043395972e-02,4.9107604538177920e+00,5.0000000000000000e+00,0,0,0
86,2112,-4.2006087567733948e-02,-6.1166433118395924e-02,4.9103677832563442e+00,5.0000000000000000e+00,0,0,0
87,2112,-3.1386975405228771e-03,4.2458961312551564e-02,4.9107438332656903e+00,5.0000000000000000e+00,0,0,0
88,2112,-4.2045485276527406e-02,-4.1206104456066671e-02,4.9105755105586573e+00,5.0000000000000000e+00,0,0,0
89,2112,3.4067912694211513e-02,-3.4641348595340793e-02,4.9106880337756289e+00,5.0000000000000000e+00,0,0,0
90,2112,-6.7413447060634096e-02,2.6195034729603398e-03,4.9104649653705863e+00,5.0000000000000000e+00,0,0,0
91,2112,-1.8337343070744729e-02,-2.4977811969019281e-02,4.9108306284714551e+00,5.0000000000000000e+00,0,0,0
92,2112,-1.5085334824370949e-02,-2.5933778111055635e-02,4.9108367395588628e+00,5.0000000000000000e+00,0,0,0
93,2112,5.7964254914992961e-03,5.3988605834553526e-02,4.9106281922648716e+00,5.0000000000000000e+00,0,0,0
94,2112,-2.0089010411420690e-02,-3.6095915381001979e-02,4.9107546392920609e+00,5.0000000000000000e+00,0,0,0
95,2112,7.9256940788174482e-02,4.2511402967320609e-02,4.9101047574089138e+00,5.0000000000000000e+00,0,0,0
96,2112,-1.6999868390911943e-02,-8.2834060992393807e-02,4.9102003150166080e+00,5.0000000000000000e+00,0,0,0
97,2112,-2.8789930199193830e-02,-3.2085132095301344e-04,4.9108439852787580e+00,5.0000000000000000e+00,0,0,0
98,2112,2.4248005389206510e-02,3.0472082755467665e-02,4.9107739814801281e+00,5.0000000000000000e+00,0,0,0
99,2112,3.1149456434596816e-02,2.4936143052816506e-02,4.9107662855106922e+00,5.0000000000000000e+00,0,0,0
100,2112,8.6718183571486626e-02,1.6726627447477157e-02,4.9101341923971180e+00,5.0000000000000000e+00,0,0,0
101,2112,2.4826605860088422e-02,5.3989318651872981e-02,4.9105688472811346e+00,5.0000000000000000e+00,0,0,0
102,2112,8.3918798556716669e-03,3.5154363848955289e-02,4.9107953895300769e+00,5.0000000000000000e+00,0,0,0
103,2112,-3.2392265784357423e-02,3.7780180245592730e-02,4.9106762273512761e+00,5.0000000000000000e+00,0,0,0
104,2112,4.2592155619009607e-02,2.7717650585025164e-02,4.9106654590697554e+00,5.0000000000000000e+00,0,0,0
105,2112,4.7970073057620424e-02,-1.9942722483669809e-02,4.9106535991338038e+00,5.0000000000000000e+00,0,0,0
106,2112,-8.8274196680454581e-02,1.3097247964444564e-02,4.9101174872981579e+00,5.0000000000000000e+00,0,0,0
107,2112,3.6643830243815706e-02,-5.9533529244923118e-02,4.9104307957017070e+00,5.0000000000000000e+00,0,0,0
108,2112,-5.2477618368697396e-02,-4.4143951560215208e-02,4.9104495743145549e+00,5.0000000000000000e+00,0,0,0
109,2112,-1.9794617445982126e-03,4.9907087029560822e-02,4.9106743910760793e+00,5.0000000000000000e+00,0,0,0
110,2112,-2.7690802897071577e-02,-6.8733436887820326e-02,4.9103692880335892e+00,5.0000000000000000e+00,0,0,0
111,2112,6.8215384024821704e-02,1.8166514712800036e-02,4.9104209849971650e+00,5.0000000000000000e+00,0,0,0
112,2112,-1.4367686321168216e-02,6.8051066018625553e-02,4.9104358495736911e+00,5.0000000000000000e+00,0,0,0
113,2112,2.3990222081621021e-02,3.6188177913582406e-02,4.9107364514702647e+00,5.0000000000000000e+00,0,0,0
114,2112,1.7523563907874434e-02,2.7915900157878547e-02,4.9108177769085808e+00,5.0000000000000000e+00,0,0,0
115,2112,1.4181652940750430e-02,-8.0981129453321823e-02,4.9102401721471152e+00,5.0000000000000000e+00,0,0,0
116,2112,-6.1113304693499624e-03,-7.2886007420747981e-02,4.9103836807664178e+00,5.0000000000000000e+00,0,0,0
117,2112,-9.6017627366619770e-02,1.0406964080102894e-02,4.9099786069909221e+00,5.0000000000000000e+00,0,0,0
118,2112,2.8956300722421047e-02,-3.5127196382706526e-02,4.9107173837941192e+00,5.0000000000000000e+00,0,0,0
119,2112,3.4384126913389775e-02,-5.6657352962144941e-02,4.9104811665402739e+00,5.0000000000000000e+00,0,0,0
120,2112,-6.8680756718908456e-02,-3.6748940319904548e-02,4.9103105889359870e+00,5.0000000000000000e+00,0,0,0
121,2112,3.6272271251528092e-02,-8.6607843815043134e-02,4.9100306531123570e+00,5.0000000000000000e+00,0,0,0
122,2112,4.8900417718780537e-02,-5.2226008186242935e-02,4.9104071932978082e+00,5.0000000000000000e+00,0,0,0
123,2112,-2.7625915897087315e-02,2.5617142812694851e-02,4.9107838663028085e+00,5.0000000000000000e+00,0,0,0
124,2112,7.0241613839907305e-02,-3.2930954416248409e-02,4.9103155986862390e+00,5.0000000000000000e+00,0,0,0
125,2112,-7.6280271011668871e-02,-8.3104138555639574e-03,4.9103288961179512e+00,5.0000000000000000e+00,0,0,0
126,2112,-2.2270006389618600e-02,2.5881887314777620e-02,4.9108096873631162e+00,5.0000000000000000e+00,0,0,0
127,2112,-1.3075572032701231e-02,3.7808320870152054e-02,4.9107654363718076e+00,5.0000000000000000e+00,0,0,0
128,2112,-2.1192645680880674e-02,2.0992994149227343e-02,4.9108377876631897e+00,5.0000000000000000e+00,0,0,0
129,2112,4.2407269053172707e-02,-2.9422568534962696e-03,4.9107444015577784e+00,5.0000000000000000e+00,0,0,0
130,2112,-4.4867234891056993e-03,-9.2549943967048603e-02,4.9100541736277235e+00,5.0000000000000000e+00,0,0,0
131,2112,-2.0938909868040798e-02,3.2142047726630631e-02,4.9107785596172500e+00,5.0000000000000000e+00,0,0,0
132,2112,-1.4985282290082556e-02,-6.2658107892191811e-02,4.9105057798158693e+00,5.0000000000000000e+00,0,0,0
133,2112,-3.0846999900595182e-02,-1.9210794184845621e-02,4.9107939295758394e+00,5.0000000000000000e+00,0,0,0
134,2112,7.1808216361716484e-02,5.8538081726848983e-02,4.9100544277864868e+00,5.0000000000000000e+00,0,0,0
135,2112,3.9359074080333257e-03,4.3260239093512086e-02,4.9107362656857729e+00,5.0000000000000000e+00,0,0,0
136,2112,-3.8603530197850990e-02,1.9682211357758606e-02,4.9107372143892336e+00,5.0000000000000000e+00,0,0,0
137,2112,-2.2006812575782030e-02,4.2434925263386623e-02,4.9106957336097645e+00,5.0000000000000000e+00,0,0,0
